CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,EstimatedSalary,Exited,Satisfaction Score,Point Earned,Card Type_GOLD,Card Type_PLATINUM,Card Type_SILVER,Geography_Germany,Geography_Spain,Gender_Male,CHURN_PREDICT,CHURN_PROB
710,22,8,0.0,2,0,99645.04,0,4,289,0,0,1,0,1,1,0,0.0437
413,34,9,0.0,2,0,6534.18,0,1,449,0,1,0,0,0,1,0,0.0789
665,40,6,0.0,1,1,161848.03,0,2,651,0,0,1,0,0,0,1,0.6597
623,44,6,0.0,2,0,167162.43,0,2,520,0,0,0,0,0,0,0,0.3203
738,31,9,82674.15,1,1,41970.72,0,4,234,0,0,0,0,0,1,0,0.1193
528,36,7,0.0,2,1,60536.56,0,5,458,0,0,1,0,1,1,0,0.0448
670,65,1,0.0,1,1,177655.68,1,2,915,1,0,0,0,1,0,1,0.6641
622,46,4,107073.27,2,1,30984.59,1,3,299,1,0,0,0,1,0,1,0.5547
582,32,1,88938.62,1,1,10054.53,0,4,838,1,0,0,1,0,1,0,0.2747
785,36,2,99806.85,1,0,36976.52,0,5,786,0,1,0,1,0,0,0,0.4422
605,33,5,150092.8,1,0,71862.79,0,3,509,0,0,0,0,1,1,0,0.1739
479,35,9,92833.89,1,1,99449.86,1,3,328,0,0,0,1,0,1,0,0.4672
685,30,3,90536.81,1,0,63082.88,0,4,347,0,0,1,1,0,1,0,0.2517
538,39,7,108055.1,2,1,27231.26,0,5,534,0,0,1,1,0,1,0,0.1913
562,42,2,100238.35,1,0,86797.41,0,5,709,0,1,0,0,0,1,0,0.498
675,36,9,106190.55,1,0,22994.32,0,4,749,0,0,1,0,1,1,0,0.2517
721,28,9,154475.54,2,0,101300.94,1,5,541,0,1,0,1,0,1,0,0.2219
628,30,9,132351.29,2,1,74169.13,0,2,736,1,0,0,1,0,0,0,0.1485
668,37,6,167864.4,1,1,115638.29,0,4,529,0,0,1,1,0,0,0,0.2469
506,41,1,0.0,2,1,31766.3,0,4,594,1,0,0,0,0,0,0,0.1368
524,31,8,107818.63,1,1,199725.39,1,1,462,0,0,1,1,0,0,1,0.5149
699,34,4,185173.81,2,1,120834.48,0,3,429,0,1,0,1,0,1,0,0.1324
828,34,8,129433.34,2,0,38131.77,0,4,370,0,0,1,0,0,1,0,0.1397
674,39,6,120193.42,1,0,100130.95,0,1,510,0,1,0,0,1,1,0,0.2096
656,39,6,0.0,2,1,141069.88,0,4,638,0,0,0,0,0,0,0,0.0689
684,48,10,126384.42,1,1,198129.36,0,1,462,1,0,0,1,0,0,1,0.5021
625,28,3,0.0,1,0,183646.41,0,4,718,1,0,0,0,0,0,0,0.2424
432,42,9,152603.45,1,1,110265.24,1,3,437,0,0,0,0,0,1,1,0.5093
549,52,1,0.0,1,0,8636.05,1,4,485,0,0,0,0,0,0,1,0.7642
625,56,0,148507.24,1,1,46824.08,1,3,410,0,1,0,1,0,1,1,0.8204
828,41,7,0.0,2,1,171378.77,0,2,666,0,1,0,0,0,0,0,0.1328
770,24,9,101827.07,1,1,167256.35,0,4,730,1,0,0,0,0,1,0,0.1484
758,34,3,0.0,2,1,124226.16,0,2,375,0,1,0,0,0,0,0,0.0892
795,33,9,130862.43,1,1,114935.21,0,5,411,1,0,0,1,0,0,0,0.4696
687,38,9,122570.87,1,1,35608.88,0,4,595,0,0,0,0,0,1,0,0.2402
686,25,1,0.0,2,0,16459.37,0,1,578,0,0,0,0,0,1,0,0.0272
789,39,7,124828.46,2,1,124411.08,0,2,377,0,1,0,1,0,1,0,0.2055
589,50,5,144895.05,2,1,34941.23,0,2,831,1,0,0,1,0,0,1,0.5403
461,34,5,63663.93,1,0,167784.28,0,1,497,0,0,1,1,0,0,0,0.338
637,40,2,133463.1,1,0,93165.34,0,1,374,0,1,0,0,0,1,0,0.3591
584,48,2,213146.2,1,1,75161.25,1,4,814,0,0,0,0,1,0,1,0.7145
579,35,1,129490.36,2,0,8590.83,1,4,247,1,0,0,0,1,0,0,0.3143
756,44,10,137452.09,1,1,189543.9,0,5,965,0,1,0,1,0,1,0,0.4597
663,34,7,0.0,2,1,180427.24,0,3,912,0,0,1,0,0,1,0,0.0249
682,43,5,125851.93,1,1,193318.33,0,4,462,1,0,0,0,0,0,1,0.5318
793,52,2,0.0,1,1,159123.82,1,5,883,1,0,0,0,1,1,1,0.6667
691,31,5,40915.55,1,1,126213.84,1,2,402,0,0,1,0,0,0,1,0.5726
485,21,5,113157.22,1,1,54141.5,0,4,764,1,0,0,0,1,0,0,0.2014
635,29,8,138296.94,2,1,141075.51,0,1,608,0,1,0,0,1,0,0,0.264
650,37,5,106967.18,1,0,24495.03,0,5,652,0,1,0,0,0,1,0,0.1582
735,44,9,120681.63,1,1,74836.34,0,2,520,0,0,1,0,0,1,0,0.4054
416,32,0,0.0,2,0,878.87,0,5,884,1,0,0,0,0,1,0,0.0791
754,32,7,0.0,2,1,89520.75,0,1,800,0,0,1,0,1,0,0,0.0361
535,48,9,0.0,1,1,149892.79,1,4,697,1,0,0,0,0,0,1,0.8208
716,42,8,0.0,2,1,180800.42,0,2,427,0,0,1,0,1,1,0,0.0862
539,37,2,127609.59,1,1,98646.22,0,1,620,0,0,0,0,0,1,0,0.1507
614,43,6,0.0,2,1,109041.53,0,1,318,0,1,0,0,0,0,0,0.2152
706,57,7,0.0,1,1,17941.16,1,1,701,1,0,0,0,1,1,1,0.6676
758,33,7,0.0,2,0,82996.47,0,4,953,0,1,0,0,0,0,0,0.0714
586,28,2,0.0,2,1,92067.35,0,5,635,0,1,0,0,1,0,0,0.1442
646,73,6,97259.25,1,0,104719.66,0,1,250,0,1,0,0,0,0,0,0.2752
631,33,4,123246.7,1,0,112687.57,0,3,662,0,0,1,1,0,0,0,0.4535
717,22,6,101060.25,1,0,84699.56,0,2,666,1,0,0,0,1,0,0,0.1655
684,30,2,0.0,2,1,83473.82,0,4,699,0,0,0,0,0,1,0,0.0211
800,49,7,108007.36,1,0,47125.11,0,3,855,0,1,0,0,0,0,1,0.6513
721,36,2,0.0,2,1,106977.8,0,5,534,0,0,1,0,1,0,0,0.1195
683,29,0,133702.89,1,1,55582.54,1,1,388,0,1,0,0,1,1,0,0.3281
660,31,9,125189.75,2,1,139874.43,0,5,612,1,0,0,1,0,1,0,0.1228
704,24,7,113034.22,1,1,162503.48,1,2,801,0,1,0,1,0,0,0,0.3479
615,41,9,109013.23,1,1,196499.96,0,1,561,0,1,0,0,1,0,0,0.373
667,39,2,0.0,2,1,40721.24,1,5,308,0,1,0,0,1,0,0,0.2896
682,24,9,57929.81,2,0,53134.3,0,5,643,0,0,1,1,0,1,0,0.1431
484,29,4,130114.39,1,1,164017.89,0,1,249,1,0,0,0,0,0,0,0.1553
628,27,5,95826.49,2,1,155996.96,0,2,818,0,0,1,1,0,1,0,0.1112
480,44,10,129608.57,1,1,5472.7,1,1,775,1,0,0,1,0,1,1,0.7186
578,30,4,169462.09,1,1,112187.11,0,5,872,0,0,0,0,0,1,0,0.1601
512,40,5,0.0,2,1,146457.83,0,3,435,0,0,0,0,0,1,0,0.0851
484,35,7,133868.21,1,1,27286.1,0,2,415,0,0,1,0,1,0,0,0.2533
510,30,0,0.0,2,1,130553.47,0,2,430,0,0,0,0,0,0,0,0.0903
606,36,5,190479.48,2,0,179351.89,0,5,929,0,1,0,1,0,1,0,0.1808
597,40,8,101993.12,1,0,94774.12,0,5,681,0,0,1,0,1,0,0,0.412
754,55,3,161608.81,1,1,8080.85,1,4,810,1,0,0,1,0,0,1,0.7611
850,45,2,122311.21,1,1,19482.5,0,5,739,1,0,0,0,1,0,0,0.4251
510,65,2,0.0,2,1,48071.61,0,1,280,0,0,1,0,0,1,0,0.1865
778,45,1,162150.42,2,1,174531.27,0,2,250,0,0,0,1,0,0,0,0.3183
636,42,2,0.0,2,1,55470.78,0,4,991,0,1,0,0,0,1,0,0.0923
804,50,4,0.0,1,1,8546.87,1,2,482,1,0,0,0,0,0,1,0.7164
514,32,8,0.0,2,1,95857.18,0,4,423,0,1,0,0,0,1,0,0.035
730,39,1,99010.67,1,1,194945.8,0,5,260,1,0,0,0,0,0,0,0.289
525,37,0,0.0,1,0,131521.72,0,5,642,0,0,1,0,1,0,0,0.4112
616,30,5,0.0,2,0,196108.51,0,4,701,0,1,0,0,1,1,0,0.039
687,34,7,111388.18,2,1,148564.76,0,4,570,1,0,0,1,0,0,0,0.2601
715,41,8,56214.85,2,0,92982.61,1,4,790,1,0,0,0,0,0,1,0.5488
512,36,3,84327.77,2,1,17675.36,0,5,727,0,1,0,0,0,0,0,0.1641
479,40,1,0.0,2,0,114996.43,0,3,909,0,0,1,0,0,1,0,0.0932
601,32,8,93012.89,1,1,86957.42,0,2,799,1,0,0,0,0,1,0,0.1353
580,29,9,61710.44,2,1,128077.8,0,1,520,0,0,0,0,1,1,0,0.1389
807,35,3,174790.15,1,1,600.36,0,3,861,0,0,1,0,0,1,0,0.2403
616,32,6,0.0,2,1,43001.46,0,5,512,1,0,0,0,1,0,0,0.0728
721,37,3,107720.64,1,1,158591.12,0,1,478,0,1,0,1,0,1,1,0.5405
501,57,10,0.0,2,1,47847.19,0,5,374,0,1,0,0,0,1,0,0.2656
521,35,6,96423.84,1,1,10488.44,0,4,280,0,1,0,0,0,1,0,0.1508
850,30,2,141040.01,1,1,5978.2,0,2,615,0,0,0,0,1,1,0,0.1514
759,42,4,105420.18,1,0,121409.06,0,3,435,1,0,0,0,0,1,0,0.4631
516,50,5,0.0,1,0,146145.93,1,5,509,1,0,0,0,1,1,1,0.6965
711,38,2,129022.06,2,1,14374.86,1,4,321,0,0,0,0,0,0,0,0.4166
512,33,3,176666.62,1,1,94670.77,0,1,726,0,1,0,0,1,1,0,0.1983
550,37,3,0.0,1,1,179670.31,0,3,516,1,0,0,0,0,1,0,0.3737
608,41,3,89763.84,1,0,199304.74,1,3,639,0,1,0,0,1,0,1,0.5995
618,34,5,134954.53,1,1,151954.39,0,2,512,0,0,1,0,0,1,0,0.1428
643,45,5,0.0,1,1,142513.5,1,3,730,1,0,0,0,0,1,1,0.874
671,45,2,106376.85,1,0,158264.62,0,3,244,0,0,0,0,0,1,0,0.4434
689,33,2,161814.64,2,1,169381.9,0,3,292,0,1,0,1,0,1,0,0.0955
603,31,8,0.0,2,1,169915.02,0,3,245,1,0,0,0,0,1,0,0.0266
620,41,9,0.0,2,0,88852.47,0,3,848,0,0,0,0,0,0,0,0.2221
676,34,1,63095.01,1,1,40645.81,0,3,974,0,0,1,0,0,0,0,0.2245
572,26,4,118287.01,2,0,60427.3,0,4,958,0,0,0,1,0,1,0,0.1388
668,47,7,106854.21,1,0,157959.02,1,3,629,1,0,0,1,0,1,1,0.9482
695,46,7,49512.55,1,1,133007.34,0,3,310,0,0,0,0,0,1,1,0.7021
730,33,9,0.0,2,0,176576.62,0,1,621,0,0,1,0,1,0,0,0.0859
807,43,1,105799.32,2,1,34888.04,1,4,924,0,0,0,0,0,1,0,0.3409
592,54,8,0.0,1,1,28737.71,1,2,359,0,1,0,0,0,1,1,0.7504
726,31,9,114722.05,2,1,98178.57,0,5,811,0,0,1,0,0,0,0,0.1606
514,30,7,0.0,1,0,125010.24,0,4,583,0,0,0,0,1,1,0,0.2897
567,42,2,0.0,2,1,167984.61,0,5,959,0,0,1,0,0,1,0,0.1269
850,33,10,0.0,1,1,4861.72,1,1,359,0,0,1,0,0,1,0,0.3428
671,45,6,99564.22,1,1,108872.45,1,3,901,0,1,0,1,0,1,1,0.8728
670,37,4,170557.91,2,1,198252.88,0,5,729,1,0,0,0,0,1,0,0.1597
694,30,9,0.0,2,1,26960.31,0,5,829,0,0,0,0,0,0,0,0.0631
547,39,6,74596.15,3,1,85746.52,1,4,790,0,0,1,1,0,0,1,0.8218
751,50,2,96888.39,1,1,77206.25,1,2,756,0,0,0,1,0,1,1,0.9226
594,29,3,130830.22,1,1,61048.53,0,4,873,1,0,0,1,0,0,0,0.4657
673,72,1,0.0,2,0,111981.19,0,3,865,0,0,1,0,0,1,0,0.1234
610,40,0,0.0,2,1,62232.6,0,5,690,1,0,0,0,0,1,0,0.1177
512,37,1,0.0,2,0,156105.03,0,4,722,0,1,0,0,0,0,0,0.0807
767,20,3,119714.25,2,0,150135.38,0,4,535,0,0,0,1,0,1,0,0.1735
585,67,5,113978.97,2,0,93146.11,0,5,580,0,0,1,0,0,0,0,0.394
763,42,6,100160.75,1,1,33462.94,1,3,709,1,0,0,1,0,1,1,0.8694
712,29,2,0.0,1,1,144375.0,0,4,930,1,0,0,0,0,0,0,0.2209
539,43,3,116220.5,3,1,55803.96,1,4,264,0,0,0,1,0,0,1,0.9184
668,46,2,0.0,3,1,89048.46,1,1,943,0,0,0,0,0,0,1,0.7729
703,28,2,81173.83,2,0,162812.16,0,2,388,0,1,0,0,0,1,0,0.1041
662,38,4,0.0,2,1,136259.65,0,5,248,1,0,0,0,1,1,0,0.0841
725,39,5,116803.8,1,1,124052.97,0,2,763,1,0,0,1,0,0,1,0.6371
703,37,8,105961.68,2,0,74158.8,0,1,619,0,0,0,0,0,1,0,0.1236
659,67,6,117411.6,1,1,45071.09,1,2,815,0,0,1,1,0,1,1,0.6813
523,34,7,0.0,2,1,62030.06,0,4,566,0,0,0,0,1,1,0,0.0225
635,40,10,123497.58,1,1,131953.23,1,5,774,1,0,0,0,0,0,1,0.5358
772,26,7,152400.51,2,1,79414.0,0,1,695,0,1,0,1,0,1,0,0.147
545,26,1,0.0,2,1,199638.56,0,5,902,0,1,0,0,0,0,0,0.0793
634,24,8,103097.85,1,1,157577.29,0,2,532,1,0,0,1,0,1,0,0.2327
739,54,8,126418.14,1,1,134420.75,1,2,718,0,0,0,1,0,1,1,0.9096
771,36,5,77846.9,1,0,99805.99,0,5,895,0,1,0,1,0,0,0,0.3569
587,34,1,0.0,2,1,97932.68,0,4,749,0,0,0,0,1,0,0,0.0643
681,79,0,0.0,2,0,170968.99,0,5,333,0,0,0,0,0,0,0,0.2298
544,37,2,79731.91,1,1,57558.95,0,4,866,0,0,0,1,0,1,0,0.2755
696,28,8,0.0,1,0,176713.47,0,3,671,0,0,1,0,1,1,0,0.267
766,41,0,0.0,2,0,34283.23,0,4,670,1,0,0,0,1,1,0,0.1307
727,34,10,0.0,2,1,198637.34,0,4,768,1,0,0,0,0,1,0,0.0468
671,34,6,37266.67,2,0,156917.12,0,3,565,0,0,1,1,0,0,0,0.2393
693,30,6,127992.25,1,1,50457.2,0,1,483,0,0,1,0,0,0,0,0.173
850,38,3,54901.01,1,1,140075.55,0,2,926,1,0,0,1,0,1,0,0.2884
732,42,9,108748.08,2,1,65323.11,0,1,932,0,0,0,1,0,1,0,0.2553
726,48,6,99906.19,1,1,64323.24,0,4,901,0,0,0,0,1,0,1,0.5242
557,32,6,184686.41,2,1,14956.44,0,3,299,1,0,0,0,0,0,0,0.1625
682,26,0,110654.02,1,0,111879.21,0,2,899,0,1,0,0,0,0,0,0.1924
738,31,9,79019.8,1,1,18606.23,0,4,467,0,1,0,0,1,1,0,0.1214
531,36,9,99240.51,1,1,123137.01,0,1,717,0,1,0,0,1,0,0,0.2822
498,34,2,0.0,2,1,148528.24,0,1,549,0,0,0,0,0,1,0,0.0345
651,36,7,0.0,2,1,13898.31,0,1,545,1,0,0,0,0,1,0,0.0546
549,39,7,0.0,1,0,81259.25,1,2,716,1,0,0,0,1,0,1,0.5347
791,35,7,52436.2,1,1,161051.75,0,2,650,0,0,1,1,0,0,0,0.3925
650,41,9,0.0,2,0,191599.67,0,4,693,0,1,0,0,1,1,0,0.1109
733,34,3,100337.96,3,1,48559.19,1,4,759,0,1,0,1,0,1,1,0.753
811,34,1,149297.19,2,1,186339.74,0,2,946,1,0,0,1,0,0,0,0.1685
707,30,8,0.0,2,1,33159.37,0,5,402,1,0,0,0,0,1,0,0.0272
712,28,4,145605.44,1,0,93883.53,0,3,465,0,1,0,1,0,1,0,0.31
706,37,7,0.0,2,1,110899.3,0,1,799,1,0,0,0,1,0,0,0.0628
756,62,3,0.0,1,1,11199.04,1,3,600,0,0,1,0,0,1,1,0.7184
777,53,10,0.0,2,1,189992.97,0,2,306,0,1,0,0,0,0,0,0.3051
646,35,6,84026.86,1,0,164255.69,0,3,635,0,0,1,0,0,1,0,0.1931
714,46,1,0.0,1,1,152167.79,1,2,747,0,1,0,0,0,1,1,0.8223
782,39,8,0.0,2,1,33949.67,0,3,424,0,1,0,0,0,1,0,0.0596
775,29,10,0.0,2,1,68143.93,0,2,913,0,0,0,0,1,1,0,0.037
479,35,4,138718.92,1,1,47251.79,1,1,751,1,0,0,1,0,1,1,0.6748
807,42,7,118274.71,1,1,25885.72,0,3,899,0,0,0,0,0,1,0,0.3104
799,22,8,174185.98,2,0,192633.85,0,3,219,0,1,0,0,0,0,0,0.1692
675,40,7,113208.86,2,1,34577.36,0,3,587,0,0,1,0,0,1,0,0.2665
602,29,5,103907.28,1,1,161229.84,0,2,861,0,0,1,0,1,1,0,0.2201
475,32,8,119023.28,1,1,100816.29,0,1,278,0,1,0,0,0,0,0,0.1765
744,26,5,166297.89,1,1,181694.44,0,1,526,0,1,0,0,1,0,0,0.2489
588,34,10,0.0,2,1,79078.91,0,2,632,0,1,0,0,1,1,0,0.0476
703,42,9,63227.0,1,0,137316.32,0,3,301,0,0,1,1,0,1,0,0.4668
747,41,5,94521.17,2,1,194926.86,0,1,806,0,0,0,0,1,0,0,0.3526
583,27,7,0.0,2,1,51285.49,0,1,250,0,1,0,0,0,1,0,0.0335
750,34,9,112822.26,1,0,150401.53,1,2,563,0,1,0,0,1,0,0,0.4191
681,38,3,0.0,2,1,112491.96,0,1,861,0,0,0,0,0,1,0,0.0391
773,25,2,135903.33,1,1,73656.38,0,4,790,0,1,0,0,0,1,0,0.1259
714,31,4,125169.26,1,1,106636.89,0,3,669,0,1,0,0,0,0,0,0.1531
687,44,7,0.0,3,1,155853.52,1,2,336,0,0,1,0,1,0,1,0.8276
511,58,0,149117.31,1,1,162599.51,0,1,517,1,0,0,0,0,1,1,0.5181
627,33,5,0.0,2,1,103737.82,0,4,499,0,1,0,0,0,1,0,0.0187
694,31,10,0.0,2,1,160990.27,0,3,673,0,0,1,0,0,0,0,0.0581
616,36,6,132311.71,1,0,15462.84,0,2,268,0,0,1,0,1,0,0,0.2764
687,35,8,0.0,2,1,10334.05,0,5,809,0,1,0,0,0,1,0,0.0311
712,33,6,0.0,2,1,190686.16,0,5,460,1,0,0,0,0,0,0,0.0641
553,33,4,118082.89,1,0,94440.45,0,4,221,0,0,1,0,0,1,0,0.187
667,31,1,119266.69,1,1,28257.63,0,2,730,0,0,1,0,0,1,0,0.1897
731,43,2,0.0,1,1,170034.95,1,2,777,0,0,0,0,0,1,1,0.7827
629,35,7,156847.29,2,1,31824.29,0,4,837,0,0,1,1,0,1,0,0.1595
